location_key,latitude,longitude
CHITALANKA_DANTEWADA,18.91628,81.34383
TUMRIGUNDA_GEEDAM,19.14246,81.30286
BHATPAL_GEEDAM,19.1789067,81.4750824
KAURGAON_GEEDAM,19.13302,81.24043
KUWAKONDA_KUWAKONDA,18.72289,81.42032
HIDPAL_GEEDAM,19.0813045,81.4112123
JAWANGA_GEEDAM,18.9515589,81.4437774
KORLAPAL_GEEDAM,19.0688643,81.3310519
POTALI_KUWAKONDA,18.47907,81.36865
PONDUM_DANTEWADA,18.9058663,81.4406578
MOKHPAL_KATEKALYAN,18.6813404,81.4735538
BALOOD_DANTEWADA,18.8797576,81.3719158
JHODIYABADAM_GEEDAM,18.94123,81.32382
DUGELI_DANTEWADA,18.69097,81.32327
KUNDENAR_GEEDAM,18.9787217,81.2573205
KATEKALYAN_KATEKALYAN,18.7108256,81.6853887
NAHADI_KUWAKONDA,18.71278,81.40614
PONDUM_DANTEWADA,18.9058663,81.4406578
PALNAR_KUWAKONDA,18.6157727,81.3890494
BADEGUDRA_KATEKALYAN,18.6984622,81.4898799
KUWAKONDA_KUWAKONDA,18.72289,81.42032
MAHARAKARKA_KATEKALYAN,18.6654578,81.4560901
PARCHELI_KATEKALYAN,18.7937114,81.6649435
BADELAKHAPAL_KATEKALYAN,18.8155313,81.5656267
GUMIYAPAL_KUWAKONDA,18.5634486,81.2736493
JANGAMPAL_KATEKALYAN,18.6759325,81.6849172
GUDSE_KATEKALYAN,18.762287,81.6585508
PARCHELI_KATEKALYAN,18.7937114,81.6649435
GATAM_KATEKALYAN,18.8223746,81.5766224
MADADI_KUWAKONDA,18.616434,81.300505
KAMALOOR_DANTEWADA,18.8536168,81.2785518
KUWAKONDA_KUWAKONDA,18.72289,81.42032
KIRANDUL_KUWAKONDA,18.6389296,81.2598722
TETAM_KATEKALYAN,18.7500394,81.5653143
KUWAKONDA_KUWAKONDA,18.72289,81.42032
TELAM_KATEKALYAN,18.7440872,81.564277
SAMALWAR_KUWAKONDA,18.6065478,81.3136132
SAMELI_KUWAKONDA,18.5561262,81.347042
MUSTALNAR_GEEDAM,19.0946917,81.2591416
MUCHNAR_GEEDAM,19.1270494,81.346066
KAURGAON_GEEDAM,19.13302,81.24043
PAHURNAR_GEEDAM,19.0958215,81.3022079
MARJUM_KATEKALYAN,18.75028,81.73957
JANGAMPAL_KATEKALYAN,18.6759325,81.6849172
CHIKPAL_KATEKALYAN,18.7525542,81.7051729
PARCHELI_KATEKALYAN,18.7937114,81.6649435
BENGLUR_KATEKALYAN,18.79999,81.65394
KARLI_GEEDAM,18.9548043,81.3568468
PANDEWAR_DANTEWADA,18.8748502,81.2696434
