Work Id Number,Work Name,Block,Panchayat
202537601071,Establishment of Food Processing Unit (Multi Food Irrigation Unit Integrated with Cold Chain and Value Addition Infrastructure) in Dantewada district under Pradhan Mantri Kisan Sampada Yojana.,DANTEWADA,
202537600155,Operational work of Chief Minister's Nutrition Scheme from April 2025 to March 2026,DANTEWADA,
202537600305,District Dantewada Inter-State Bus Stand Construction Work Part-1,DANTEWADA,
202537600306,District Dantewada Inter-State Bus Stand Construction Work Part-2,DANTEWADA,
202437601072,"Construction work of Aastha Vidya Mandir Girls Hostel Building, Kirandul.",KUWAKONDA,
202437601070,"Construction work of Aastha Vidya Mandir Boys Hostel Building, Kirandul.",KUWAKONDA,
202437601071,Aastha Vidya Mandir (School) Kirandul building construction work.,KUWAKONDA,
202537600543,For payment of honorarium to officers and employees under DMF under the financial year 2025-26 (April 2025 to March 2026).,DANTEWADA ,
202537600342,Restoration and embankment work of Danteshwari Anicut,DANTEWADA,
202437601856,Payment of honorarium amount to guest teachers on vacant posts of assistant teacher and teacher in Pota Cabin residential schools run in the district.,DANTEWADA,
202137600406,Funding work for the operation of the Chief Minister's Nutrition Campaign run in the district in the year 2021-22,DANTEWADA,
202437601073,Construction work of Aastha Vidya Mandir Staff Quarter Kirandul building.,KUWAKONDA,
202437602875,Establishment and operation of training cum production centre for cloth production and sewing unit to provide employment and self-employment to women and youth in Dantewada district.,DANTEWADA,
202437601757,Operational work from October 2024 to March 2025 under the Chief Minister's Nutrition Campaign,DANTEWADA,
202537600451,"Expanding the Child Friendly Library and Activity Centre programme, the programme is being conducted in the remaining 102 Panchayats of the district.",DANTEWADA,
202437600683,Honorarium payment work of newly appointed medical specialists and medical officers from April 2024 to March 2025,DANTEWADA,
202137600605,"Installation work of solar plants (solar street lights - 15 nos., solar dual pumps - 08 nos., solar high masts - 04 nos., biogas - 50 nos., battery bank and inverter - 02 sets) at various places under Dantewada district.",DANTEWADA,
202137600629,"Supply of brush cutter, power weeder, reaper and other necessary equipment for agricultural work of the farmers of the district.",DANTEWADA,
202437600649,Tubewell mining work at the farmers' places in the district.,DANTEWADA,
202437600647,Chain link fencing work at the farmers' places in the district.,DANTEWADA,
202537600503,"Work amount for providing honorarium to medical specialist, medical officer and other employees working under District Mineral Institute Trust Fund in District Hospital Dantewada.",GEEDAM,
202237600673,Part-two of the honorarium work of doctors/health workers and all other doctors and employees working in primary/sub-health/community centers under Dantewada district.,DANTEWADA,
202337600751,Tube well mining and pump installation work and channel link wire fencing work under Geedam area,GEEDAM,
202337600999,Honorarium of Health Medical Officers/Employees in District Dantewada (Month-April 2023 to Month-March 2024) Supply Work,DANTEWADA,
202437601127,Construction work of ground floor and first floor of Bhakt Niwas Bhawan at Ranibag in Dantewada district.,DANTEWADA,
202437600587,"Payment of honorarium to officers/employees working in various institutions operated under Chief Medical and Health Officer, District Dantewada (Financial Year 2024-25 from April 2024 to March 2025)",DANTEWADA,
202437600081,Provision of honorarium to guest teachers working in the primary/secondary schools and high/higher secondary schools of the district for the year 2024-25.,DANTEWADA,
202437602754,"8 Pota cabins, girls Pota cabins and boys Pota cabins, teachers quarters, kitchen sheds and school repair work in development block Geedam, Karli Bangapal and Hitameta",GEEDAM,
202237600142,High mast lighting work at public places,DANTEWADA,
202337600750,Tube well mining and pump installation work and channel link wire fencing work under Dantewada area,DANTEWADA,
202337600560,Tube well digging and pump installation work (farmer no. 128),DANTEWADA,
202437602929,"Irrigated bamboo plantation, channel link fencing, bore mining and drip irrigation work on farmer's land",DANTEWADA,
202537600133,Construction work of new additional room building of 100 seater Adarsh ​​Boys Hostel Balud,DANTEWADA,
202337600834,"Honorarium of doctors and other employees working in all the Primary Health Centres, Community Health Centres, District Hospitals etc. in the district",DANTEWADA,
202437600356,"Payment of honorarium to medical specialists, medical officers and other employees working in District Hospital Dantewada for the working year 2024-25.",DANTEWADA,
202337600472,"Construction work of 100 seater girls hostel building in Government Arvind College, Kirandul",KUWAKONDA,
202337600473,"Construction work of 100 seater boys hostel building in Government Arvind College, Kirandul",KUWAKONDA,
202437601102,Nutrition food supply work from July 2024 to September 2024 under the Chief Minister's Nutrition Campaign.,DANTEWADA,
202437600074,"Operation of four DAV Chief Minister Public School hostels Kumharras, Jawanga, Hitawar and Parcheli operating in the district, honorarium, nutrition and other necessary work for the year 2024-25.",DANTEWADA,
